,startphrase,ending1,ending2,labels,vehicle,vehicle_characteristics,startphrase_enhanced
1390,Her love was a seedling,Her love was growing,Her love was dying,0,seedling,"vibrant, budding, nascent","Her love was a seedling. Characteristics of seedling include: vibrant, budding, nascent."
1391,Her love was a rotting apple,Her love was growing,Her love was dying,1,apple,"juicy, crisp, vibrant","Her love was a rotting apple. Characteristics of apple include: juicy, crisp, vibrant."
1392,The girl is as easy to see through as a bowl of grape jelly,The girl is hard to figure out.,The girl is easy to read.,0,bowl,"Cylindrical, hollow, versatile","The girl is as easy to see through as a bowl of grape jelly. Characteristics of bowl include: Cylindrical, hollow, versatile."
1393,The girl is as easy to see through as a windowpane,The girl is hard to figure out.,The girl is easy to read.,1,windowpane,"transparent, fragile, reflective","The girl is as easy to see through as a windowpane. Characteristics of windowpane include: transparent, fragile, reflective."
1394,His gaze is like granite,"His gaze is cold, unmoving",His gaze is warm and friendly,0,granite,"hard, enduring, majestic","His gaze is like granite. Characteristics of granite include: hard, enduring, majestic."
1395,His gaze is like a teddy bear,"His gaze is cold, unmoving",His gaze is warm and friendly,1,bear,"fierce, strong, protective","His gaze is like a teddy bear. Characteristics of bear include: fierce, strong, protective."
1396,She entered the room like a snake.,She entered sneakily.,She crashed her way in.,0,snake,"venomous, secretive, deceptive","She entered the room like a snake. Characteristics of snake include: venomous, secretive, deceptive."
1397,She entered the room like an elephant.,She entered sneakily.,She crashed her way in.,1,elephant,"Gentle, Majestic, Wise","She entered the room like an elephant. Characteristics of elephant include: Gentle, Majestic, Wise."
1398,The test was a walk in the park.,The test was easy.,The test was hard.,0,park,"serene, green, lively","The test was a walk in the park. Characteristics of park include: serene, green, lively."
1399,The test was black death.,The test was easy.,The test was hard.,1,death,"Mysterious, Inevitable, Final","The test was black death. Characteristics of death include: Mysterious, Inevitable, Final."
1400,The cake was as hard as a rock.,The cake was hard.,The cake was light.,0,rock,"solid, enduring, steadfast","The cake was as hard as a rock. Characteristics of rock include: solid, enduring, steadfast."
1401,The cake was as light as a feather.,The cake was hard.,The cake was light.,1,feather,"light, delicate, graceful","The cake was as light as a feather. Characteristics of feather include: light, delicate, graceful."
1402,Her gaze pierced your soul like a sharp sword.,She could look right through you.,She only sees the outside of a person.,0,sword,"sharp, deadly, historical","Her gaze pierced your soul like a sharp sword. Characteristics of sword include: sharp, deadly, historical."
1403,Her gaze pierced your soul like piece of salami.,She could look right through you.,She only sees the outside of a person.,1,salami,"salty, delicious, savory","Her gaze pierced your soul like piece of salami. Characteristics of salami include: salty, delicious, savory."
1404,The argument has the sting of a violent war,The argument was biting,The argument was weak,0,war,"destructive, chaotic, appalling","The argument has the sting of a violent war. Characteristics of war include: destructive, chaotic, appalling."
1405,The argument has the sting of a marshmallow fortress,The argument was biting,The argument was weak,1,fortress,"sturdy, impenetrable, protective","The argument has the sting of a marshmallow fortress. Characteristics of fortress include: sturdy, impenetrable, protective."
1406,The girl has the beauty of the Mona Lisa,The girl is beautiful.,The girl is ugly.,0,Lisa,"determined, intelligent, expressive","The girl has the beauty of the Mona Lisa. Characteristics of Lisa include: determined, intelligent, expressive."
1407,The girl has the beauty of a trash can,The girl is beautiful.,The girl is ugly.,1,trash can,"useful, practical, versatile","The girl has the beauty of a trash can. Characteristics of trash can include: useful, practical, versatile."
1408,The weather outside has the temperature of a volcano,The weather outside is very hot.,The weather outside is very cold.,0,volcano,"fiery, explosive, powerful","The weather outside has the temperature of a volcano. Characteristics of volcano include: fiery, explosive, powerful."
1409,The weather outside has the temperature of the arctic,The weather outside is very hot.,The weather outside is very cold.,1,temperature,"measurable, fluctuating, influential","The weather outside has the temperature of the arctic. Characteristics of temperature include: measurable, fluctuating, influential."
1410,The argument is as well written as Twilight,The argument is written badly,The argument is written well,0,Twilight,"mysterious, ethereal, haunting","The argument is as well written as Twilight. Characteristics of Twilight include: mysterious, ethereal, haunting."
1411,The argument is as well written as The Great Gatsby,The argument is written badly,The argument is written well,1,Gatsby,"enigmatic, extravagant, elusive","The argument is as well written as The Great Gatsby. Characteristics of Gatsby include: enigmatic, extravagant, elusive."
1412,The girl's lips are as loose as a virgin,The girl keeps secrets well.,The girl can't keep a secret.,0,lips,"sensual, alluring, expressive","The girl's lips are as loose as a virgin. Characteristics of lips include: sensual, alluring, expressive."
1413,The girl's lips are as loose as a prostitute,The girl keeps secrets well.,The girl can't keep a secret.,1,prostitute,"deceptive, stigmatized, controversial","The girl's lips are as loose as a prostitute. Characteristics of prostitute include: deceptive, stigmatized, controversial."
1414,The document is as official as a government treaty,The document has a lot of formalities.,The document isn't official at all.,0,treaty,"binding, diplomatic, strategic","The document is as official as a government treaty. Characteristics of treaty include: binding, diplomatic, strategic."
1415,The document is as official as some writing on a napkin,The document has a lot of formalities.,The document isn't official at all.,1,napkin,"Useful, absorbent, disposable","The document is as official as some writing on a napkin. Characteristics of napkin include: Useful, absorbent, disposable."
1416,The argument appears as a crystal clear spring,The argument makes sense,The argument is senseless,0,spring,"rejuvenating, vibrant, refreshing","The argument appears as a crystal clear spring. Characteristics of spring include: rejuvenating, vibrant, refreshing."
1417,The argument appears as a muddy rut,The argument makes sense,The argument is senseless,1,rut,"tedious, monotonous, restrictive","The argument appears as a muddy rut. Characteristics of rut include: tedious, monotonous, restrictive."
1418,The gamer was a god.,The gamer has exceptional skills and impressive powers and abilities in the game.,"The gamer was new, not execeptional,  and below average.",0,god,"omniscient, omnipotent, transcendent","The gamer was a god. Characteristics of god include: omniscient, omnipotent, transcendent."
1419,The gamer was a peon.,The gamer has exceptional skills and impressive powers and abilities in the game.,"The gamer was new, not execeptional,  and below average.",1,peon,"Underprivileged, subservient, powerless","The gamer was a peon. Characteristics of peon include: Underprivileged, subservient, powerless."
1420,The lawyer is A pig,The lawyer is lazy,The lawyer guides his client very well in the lawsuit,0,pig,"dirty, greedy, stubborn","The lawyer is A pig. Characteristics of pig include: dirty, greedy, stubborn."
1421,The lawyer is A lighthouse for his client,The lawyer is lazy,The lawyer guides his client very well in the lawsuit,1,lighthouse,"Guiding, vigilant, towering","The lawyer is A lighthouse for his client. Characteristics of lighthouse include: Guiding, vigilant, towering."
1422,This car is faster than a speeding bullet,The car is ridiculously fast,The car is not fast at all,0,bullet,"Dangerous, Swift, Penetrating","This car is faster than a speeding bullet. Characteristics of bullet include: Dangerous, Swift, Penetrating."
